tweet_id,timestamp,username,text,likes,retweets,comments,tweet_url
2036246844683198925,Tue Mar 24 01:00:54 +0000 2026,DJ_Luvly,"Subsisi BBM kan versi light suap penguasa terhada rakyatnya agar terpilih kembali.

BBM bisa murah kok dan pertamina bisa untung, check negara sebelah.

Versi brutal suap penguasa tentunya bansos APBN era Jokowi menangkan gibran, Dana Desa, alokasi APBN yg besar untuk partai coklat dan hijau (TNI POLRI)

Versi suap brutal lagi adalah MBG dan koperasi merah putih

Rezimnya hobby menyuap, rakyatnya suka disuap !",0,0,0,https://x.com/DJ_Luvly/status/2036246844683198925
2036242934820225071,Tue Mar 24 00:45:21 +0000 2026,susno2g,"@tempodotco @sejahterahman @tempodotco ; polisi ditugaskan nanam jagung, Agrinas ditugas-kan import mobil Pik Up India , Kemenhan ditugaskan bangun koperasi Merah Putih, dll
Koq menejemen Pemerintah spti apa ini ??",0,0,0,https://x.com/susno2g/status/2036242934820225071
2036232859833475123,Tue Mar 24 00:05:19 +0000 2026,_Haris_Srg,"Pembelajaran daring, tapi Ambil MBG di sekolah. Tolol gak ini? 
Mengapa tidak MBG dan Koperasi Merah Putihnya saja di stop hati pemimpin tolol! 
Ini menunjukkan jelas2, kalau MBG, Koperasi Desa Merah Putih adalah proyek kantong2 suara agar bisa memenangkan pemilu 2029. Jahat.",0,0,0,https://x.com/_Haris_Srg/status/2036232859833475123
2038114989492654431,Sun Mar 29 04:44:14 +0000 2026,pocongmainx,@gimbot75 Bisnis embegeh sudah sukses... Selanjutnya proyek kopdes merah putih,0,0,0,https://x.com/pocongmainx/status/2038114989492654431
2038103412240458210,Sun Mar 29 03:58:14 +0000 2026,PakKarti,"Koperasi Desa Merah Putih (KDMP) belum beroperasi, mau gusur Indomaret dan Alfamart.

Apa lagi ya Guys?",0,0,0,https://x.com/PakKarti/status/2038103412240458210
2038096187136619006,Sun Mar 29 03:29:31 +0000 2026,Kodim0721,"Pembangunan Koperasi Desa Merah Putih di Kecamatan Jati terus digenjot. Pada Minggu (29/3/2026), Babinsa Koramil 11/Jati, Serda Sukandar, turun langsung mendampingi proses konstruksi di Desa Randulawang, Kecamatan Jati, Kabupaten Blora. https://t.co/kkGut3yuDx",0,0,0,https://x.com/Kodim0721/status/2038096187136619006
2038090157153468566,Sun Mar 29 03:05:34 +0000 2026,syahdanbokas,Kopdes Merah Putih jadi ruang tumbuh berdaya bagi masyarakat desa #dukungKMP https://t.co/b4nno2onQA,0,0,0,https://x.com/syahdanbokas/status/2038090157153468566
2038067335349817648,Sun Mar 29 01:34:52 +0000 2026,alvinsuganda,"@kemgelapan Stamford Bridge jadi lahan sawit.
Megastore jadi Koperasi Merah Putih.
Klubnya jadi SPPG.",0,0,0,https://x.com/alvinsuganda/status/2038067335349817648
2038067284359655710,Sun Mar 29 01:34:40 +0000 2026,CLstyles16_,"tadi aku main sepeda di jalan raya ya, trs liat mobil 6 biji ADA TULISANNYA KOPERASI MERAH PUTIH. GW TANYA BUAT APAAN AMPE ADA BGTUAN. NEGARA KONTOL UANG KAGA DIGUNAKAN DENGAN BIJAK",0,0,0,https://x.com/CLstyles16_/status/2038067284359655710
2038066628735447344,Sun Mar 29 01:32:04 +0000 2026,MiskinTV_,"Kembali terjadi penolakan masyarakat terhadap pembangunan Koperasi Desa Merah Putih. Alasannya terkait dengan penggunaan tanah yang semena2.

Yang gw khawatirkan cuma akan ada ketegangan antara warga vs aparat, karena spt kita tau Aparat jadi salah satu kepanjangan tangan Pemerintah dalam menyukseskan program ini.

Lokasi di Pati, Jawa Tengah",593,184,38,https://x.com/MiskinTV_/status/2038066628735447344
